syllabus_id,year,course_title,subtitle,departments,grade,campus,term_schedule,credits,note,extraction_time,created_at,all_instructors_kanji,all_instructors_kana
B000000100,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　木２(B208),2,Ｂ２５０３０７～（留学生含む）、（２４生以前含む）,2025-06-01 20:54:00,2025-06-01 11:54:00,"深谷　優介, 深谷　優介","フカヤ　ユウスケ, フカヤ　ユウスケ"
B000000101,2025,,,,,,,,,2025-06-01 21:22:58,2025-06-01 12:22:58,"深谷　優介, 深谷　優介","フカヤ　ユウスケ, フカヤ　ユウスケ"
B000000110,2025,,,,,,,,,2025-06-01 21:22:58,2025-06-01 12:22:58,"深谷　優介, 深谷　優介","フカヤ　ユウスケ, フカヤ　ユウスケ"
B000000111,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,後期　木５(B302),2,２０２５年度以降入学生用（商学科生教職課程履修者用）,2025-06-01 20:54:23,2025-06-01 11:54:24,"深谷　優介, 深谷　優介","フカヤ　ユウスケ, フカヤ　ユウスケ"
B000000120,2025,経営と情報,経営における情報利用のための基礎知識と実際,経営学部,1年次～4年次,深草,後期　火５(B301),2,２０２４年度以前入学生用,2025-06-01 20:54:26,2025-06-01 11:54:26,"伊藤　伸一, 伊藤　伸一","イトウ　シンイチ, イトウ　シンイチ"
B000000130,2025,現代の企業会計,経営学部の学生として最低限必要な財務諸表の見方に関する知識,経営学部,2年次～4年次,深草,前期　火５(B202),2,２０２４年度以前入学生用,2025-06-01 20:54:26,2025-06-01 11:54:26,"鈴木　学, 鈴木　学","スズキ　マナブ, スズキ　マナブ"
B000000140,2025,現代企業の成り立ち,「ビジネスの歴史を知る必要なんてない。」　　という前に…,経営学部,1年次～4年次,深草,後期　火１(B301),2,２０２４年度以前入学生用,2025-06-01 20:54:47,2025-06-01 11:54:47,"西川　浩司, 西川　浩司","ニシカワ　ヒロシ, ニシカワ　ヒロシ"
B000000150,2025,現代社会と企業,働く前に知っておきたい「企業と社会」の関係,経営学部,1年次～4年次,深草,後期　木２(B301),2,２０２４年度以前入学生用,2025-06-01 20:54:49,2025-06-01 11:54:50,"細川　孝, 細川　孝","ホソカワ　タカシ, ホソカワ　タカシ"
B000000160,2025,マーケティングの基礎,マーケティングの考え方に親しむ,経営学部,1年次～4年次,深草,後期　水１(B301),2,２０２４年度以前入学生用,2025-06-01 20:54:50,2025-06-01 11:54:50,"藤岡　章子, 藤岡　章子","フジオカ　アキコ, フジオカ　アキコ"
B000000170,2025,企業経営の管理,,経営学部,1年次～4年次,深草,後期　月３(B301),2,２０２４年度以前入学生用,2025-06-01 20:55:11,2025-06-01 11:55:11,"太田　侑樹, 太田　侑樹","オオタ　ユウキ, オオタ　ユウキ"
B000000180,2025,日本と世界の経済,グローバル経済の歴史,経営学部,1年次～4年次,深草,後期　火１(B302),2,２０２４年度以前入学生用,2025-06-01 20:55:13,2025-06-01 11:55:13,"山本　千映, 山本　千映","ヤマモト　チアキ, ヤマモト　チアキ"
B000000190,2025,,,,,,,,,2025-06-01 21:24:14,2025-06-01 12:24:14,"山本　千映, 山本　千映","ヤマモト　チアキ, ヤマモト　チアキ"
B000000200,2025,,,,,,,,,2025-06-01 21:24:18,2025-06-01 12:24:18,"藤木　潤司, 藤木　潤司","フジキ　ジユンジ, フジキ　ジユンジ"
B000000210,2025,初級商業簿記,商業簿記の基礎的な知識と技術,経営学部,1年次～4年次,オンライン,後期　木４(B301),2,２０２５年以降入学生用（経営学科生のみ）。オンライン科目,2025-06-01 20:55:37,2025-06-01 11:55:37,"濵田　崇嘉, 濵田　崇嘉","ハマダ　タカヨシ, ハマダ　タカヨシ"
B000000211,2025,初級商業簿記,商業簿記の基礎的な知識と技術,経営学部,1年次～4年次,オンライン,後期　木４(B302),2,２０２５年以降入学生用（商学科教職課程履修者用）。オンライン科目,2025-06-01 20:55:37,2025-06-01 11:55:37,"濵田　崇嘉, 濵田　崇嘉","ハマダ　タカヨシ, ハマダ　タカヨシ"
B000000220,2025,経営管理論,管理学説を理解する,経営学部,1年次～4年次,オンライン,後期　金１(B301),2,オンライン科目,2025-06-01 20:55:58,2025-06-01 11:55:58,"坂本　雅則, 坂本　雅則","サカモト　マサノリ, サカモト　マサノリ"
B000000221,2025,経営管理論,管理学説を理解する,経営学部,1年次～4年次,オンライン,後期　金１(B302),2,２０２５年度以降入学生用（商学科生教職課程履修者用）。オンライン科目,2025-06-01 20:56:23,2025-06-01 11:56:23,"坂本　雅則, 坂本　雅則","サカモト　マサノリ, サカモト　マサノリ"
B000000230,2025,経営戦略論,,経営学部,1年次～4年次,深草,後期　火１(B303),2,２０２５年度以降入学生対象,2025-06-01 20:56:23,2025-06-01 11:56:23,"宮本　琢也, 宮本　琢也","ミヤモト　タクヤ, ミヤモト　タクヤ"
B000000231,2025,経営戦略論,,経営学部,1年次～4年次,深草,後期　火２(B301),2,,2025-06-01 20:56:22,2025-06-01 11:56:23,"宮本　琢也, 宮本　琢也","ミヤモト　タクヤ, ミヤモト　タクヤ"
B000000250,2025,国際経営論,多国籍企業のタックス・マネジメント,経営学部,2年次～4年次,深草,前期　月４(B201),2,２０２４年度以前入学生用,2025-06-01 20:56:46,2025-06-01 11:56:46,"林　尚毅, 林　尚毅","ハヤシ　ナオキ, ハヤシ　ナオキ"
B000000260,2025,,,,,,,,,2025-06-01 21:25:56,2025-06-01 12:25:56,"林　尚毅, 林　尚毅","ハヤシ　ナオキ, ハヤシ　ナオキ"
B000000270,2025,,,,,,,,,2025-06-01 21:25:56,2025-06-01 12:25:56,"藤岡　章子, 藤岡　章子","フジオカ　アキコ, フジオカ　アキコ"
B000000290,2025,マーケティング・リサーチ,,経営学部,2年次～4年次,深草,前期　木４(B201),2,２０２４年度以前入学生用,2025-06-01 20:57:09,2025-06-01 11:57:09,"遠藤　明子, 遠藤　明子","エンドウ　アキコ, エンドウ　アキコ"
B000000300,2025,人的資源管理論,,経営学部,1年次～4年次,深草,後期　金２(B301),2,Ｂ２５０００１～Ｂ２５０１９０（２４生以前含む）,2025-06-01 20:57:10,2025-06-01 11:57:11,"太田　侑樹, 太田　侑樹","オオタ　ユウキ, オオタ　ユウキ"
B000000310,2025,人的資源管理論,,経営学部,1年次～4年次,深草,後期　火３(B302),2,２０２５年度以降入学生用（経営学科生のみ）。Ｂ２５０１９１～Ｂ２５０３８０、（２４生以前含む）,2025-06-01 20:57:12,2025-06-01 11:57:12,"太田　侑樹, 太田　侑樹","オオタ　ユウキ, オオタ　ユウキ"
B000000320,2025,,,,,,,,,2025-06-01 21:26:03,2025-06-01 12:26:03,"太田　侑樹, 太田　侑樹","オオタ　ユウキ, オオタ　ユウキ"
B000000330,2025,商品学,商品価値の総合的な理解,経営学部,2年次～4年次,深草,前期　金３(B201),2,２０２４年度以前入学生用,2025-06-01 20:57:34,2025-06-01 11:57:34,"大原　悟務, 大原　悟務","オオハラ　サトム, オオハラ　サトム"
